iter	Passed	Remaining
697	1202	520
698	1203	518
699	1206	516
700	1207	515
701	1209	513
702	1211	511
703	1212	509
704	1214	508
705	1215	506
706	1217	504
707	1218	502
708	1219	500
709	1220	498
710	1222	496
711	1224	495
712	1225	493
713	1227	491
714	1229	490
715	1230	488
716	1233	486
717	1234	484
718	1236	483
719	1238	481
720	1239	479
721	1240	477
722	1242	475
723	1244	474
724	1245	472
725	1247	470
726	1248	468
727	1250	467
728	1251	465
729	1252	463
730	1255	461
731	1256	460
732	1257	458
733	1259	456
734	1261	454
735	1262	452
736	1264	451
737	1266	449
738	1267	447
739	1268	445
740	1270	444
741	1272	442
742	1273	440
743	1276	439
744	1278	437
745	1279	435
746	1281	433
747	1282	432
748	1283	430
749	1285	428
750	1287	426
751	1288	424
752	1289	423
753	1291	421
754	1293	419
755	1294	417
756	1296	416
757	1298	414
758	1299	412
759	1301	410
760	1302	409
761	1304	407
762	1305	405
763	1306	403
764	1308	402
765	1310	400
766	1311	398
767	1312	396
768	1314	394
769	1315	393
770	1317	391
771	1318	389
772	1320	387
773	1322	386
774	1323	384
775	1325	382
776	1327	380
777	1328	379
778	1330	377
779	1331	375
780	1332	373
781	1334	372
782	1336	370
783	1337	368
784	1339	366
785	1341	365
786	1342	363
787	1344	361
788	1346	360
789	1347	358
790	1349	356
791	1351	354
792	1352	353
793	1354	351
794	1355	349
795	1357	347
796	1358	346
797	1359	344
798	1361	342
799	1362	340
800	1364	338
801	1365	337
802	1366	335
803	1368	333
804	1369	331
805	1370	329
806	1371	328
807	1373	326
808	1374	324
809	1375	322
810	1376	320
811	1378	319
812	1379	317
813	1381	315
814	1382	313
815	1383	312
816	1384	310
817	1385	308
818	1386	306
819	1388	304
820	1389	302
821	1390	301
822	1392	299
823	1393	297
824	1395	295
825	1396	294
826	1397	292
827	1399	290
828	1401	289
829	1402	287
830	1404	285
831	1406	283
832	1407	282
833	1408	280
834	1410	278
835	1411	276
836	1413	275
837	1414	273
838	1415	271
839	1416	269
840	1418	268
841	1419	266
842	1421	264
843	1422	262
844	1423	261
845	1425	259
846	1426	257
847	1428	255
848	1429	254
849	1430	252
850	1432	250
851	1433	249
852	1435	247
853	1436	245
854	1438	243
855	1440	242
856	1441	240
857	1443	238
858	1444	237
859	1446	235
860	1447	233
861	1449	231
862	1450	230
863	1452	228
864	1454	227
865	1456	225
866	1457	223
867	1459	221
868	1461	220
869	1462	218
870	1464	216
871	1466	215
872	1467	213
873	1469	211
874	1470	210
875	1471	208
876	1472	206
877	1474	204
878	1476	203
879	1477	201
880	1478	199
881	1479	197
882	1481	196
883	1482	194
884	1483	192
885	1484	190
886	1486	189
887	1487	187
888	1488	185
889	1489	184
890	1491	182
891	1493	180
892	1494	179
893	1496	177
894	1498	175
895	1499	174
896	1500	172
897	1502	170
898	1503	168
899	1505	167
900	1506	165
901	1508	163
902	1509	162
903	1510	160
904	1512	158
905	1513	157
906	1515	155
907	1516	153
908	1518	151
909	1519	150
910	1520	148
911	1521	146
912	1523	145
913	1524	143
914	1525	141
915	1527	140
916	1529	138
917	1530	136
918	1531	135
919	1533	133
920	1535	131
921	1536	130
922	1538	128
923	1539	126
924	1541	124
925	1542	123
926	1544	121
927	1545	119
928	1546	118
929	1548	116
930	1549	114
931	1551	113
932	1552	111
933	1553	109
934	1554	108
935	1556	106
936	1557	104
937	1558	102
938	1559	101
939	1560	99
940	1561	97
941	1563	96
942	1564	94
943	1565	92
944	1566	91
945	1567	89
946	1568	87
947	1569	86
948	1571	84
949	1572	82
950	1574	81
951	1575	79
952	1576	77
953	1579	76
954	1580	74
955	1582	72
956	1583	71
957	1584	69
958	1586	67
959	1587	66
960	1589	64
